content_id,created_at,topic,primary_title,output_file,channel,read_count,avg_read_time,like_count,share_count,lead_count,completion_rate
20260324-a86d7829,2026-03-24 20:22:27,我做了一个小实验：只改开头前一句，完播感觉完全不同,起号先做减法：普通人做视频号别先求爆款,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_202227_people_videohao_topic-011c9674.md,视频号,0,0,0,0,0,0
20260324-d108c568,2026-03-24 20:22:27,拍摄时最实用的不是台词，而是删掉3个书面词,会拆段比一次过更快：拍视频别先追一次过,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_202227_people_shooting_3.md,视频号,0,0,0,0,0,0
20260324-9ef18cba,2026-03-24 20:31:25,你以为脸不够上镜，我复盘后先做废片里重复卡壳点，结果评论区开始有人认真聊了,低播放也能挖出增长点：这条视频复盘后我改了顺序,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_203125_people_recap_topic-0ea89a2b.md,视频号,0,0,0,0,0,0
20260324-7ba116d2,2026-03-24 20:31:25,想涨粉别先每天换新赛道，先做每条只讲一个问题，普通人更容易内容节奏明显更顺,先跑通，再跑快：普通人做视频号别先求爆款,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_203125_people_videohao_topic-abdfbed0.md,视频号,0,0,0,0,0,0
20260324-ee5d5f8c,2026-03-24 20:31:25,拍口播别先一镜到底才专业，先做10秒呼吸+微笑启动，你会发现拍完敢发，不再无限重录,拍摄先求自然再求华丽：拍视频别先追一次过,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_203125_people_shooting_10.md,视频号,0,0,0,0,0,0
20260324-ec91e7cc,2026-03-24 20:31:58,我把表达不够高级这件事停掉一周，账号反而我终于知道该改哪一步,先别怪算法，先怪顺序：这条视频复盘后我改了顺序,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_203158_people_recap_topic-6c4abf11.md,视频号,0,0,0,0,0,0
20260324-83db6aed,2026-03-24 20:31:58,想涨粉别先堆更新数量，先做把结尾改成二选一提问，普通人更容易稳住连更而不是三天打鱼,流量不稳先稳流程：普通人做视频号别先求爆款,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_203158_people_videohao_topic-9eb52c42.md,视频号,0,0,0,0,0,0
20260324-43812d53,2026-03-24 20:31:58,拍口播别先表情管理越多越好，先做镜头旁1厘米定点看，你会发现卡壳次数比以前少一半,会拆段比一次过更快：拍视频别先追一次过,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_203158_people_shooting_1.md,视频号,0,0,0,0,0,0
20260324-fbbf9dad,2026-03-24 20:32:44,我把“脸不够上镜”这个执念停掉一周，最后第二条拍摄焦虑明显降了,复盘不是自责，是提速器：这条视频复盘后我改了顺序,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_203244_people_recap_topic-265a28df.md,视频号,0,0,0,0,0,0
20260324-f4182d7b,2026-03-24 20:32:44,想涨粉别先狂学剪辑特效，先做这个动作：每条只讲一个问题，普通人也能把内容节奏拉顺,流量不稳先稳流程：普通人做视频号别先求爆款,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_203244_people_videohao_topic-9f25405b.md,视频号,0,0,0,0,0,0
20260324-534b80fb,2026-03-24 20:32:45,我以前一开拍就僵，后来把镜头旁1厘米定点看放到开机前，结果卡壳次数比以前少一半,镜头感先练呼吸：拍视频别先追一次过,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_203245_people_shooting_1.md,视频号,0,0,0,0,0,0
20260324-ebf34448,2026-03-24 20:33:11,我把“一定要一次拍完”这个执念停掉一周，最后我发现更新频率终于能扛住,复盘不是自责，是提速器：这条视频复盘后我改了顺序,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_203311_people_recap_topic-05993c90.md,视频号,0,0,0,0,0,0
20260324-b8a30850,2026-03-24 20:33:11,想涨粉别先一上来追爆款，先做这个动作：开头第一句做成翻车现场，普通人也能把互动质量先拉起来,流量不稳先稳流程：普通人做视频号别先求爆款,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_203311_people_videohao_topic-59c3f78d.md,视频号,0,0,0,0,0,0
20260324-217a7700,2026-03-24 20:33:11,拍口播别先先买设备再开拍，先做这个动作：20秒拆段拍摄，你会发现观众更愿意停下来听完,会拆段比一次过更快：拍视频别先追一次过,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_203311_people_shooting_20.md,视频号,0,0,0,0,0,0
20260324-82cd711b,2026-03-24 20:33:36,你以为一定要一次拍完，我复盘后先看评论区第一句，结果完播不一定暴涨但稳定了,先别怪算法，先怪顺序：这条视频复盘后我改了顺序,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_203336_people_recap_topic-7de47f8e.md,视频号,0,0,0,0,0,0
20260324-475c9c43,2026-03-24 20:33:36,起号期最反常识的一点：别先狂学剪辑特效，先每条只讲一个问题,起号先做减法：普通人做视频号别先求爆款,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_203336_people_videohao_topic-82dbcffa.md,视频号,0,0,0,0,0,0
20260324-79fb0036,2026-03-24 20:33:37,拍口播别先买设备再开拍，先做这个动作：先讲一个今天翻车的小事，你会发现整个人看起来像聊天不是背稿,拍摄先求自然再求华丽：拍视频别先追一次过,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_203337_people_shooting_topic-a136fee3.md,视频号,0,0,0,0,0,0
20260324-a20c69bb,2026-03-24 20:34:05,你以为一定要一次拍完，我复盘后先看前3秒划走点，结果我终于知道该改哪一步,复盘不是自责，是提速器：这条视频复盘后我改了顺序,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_203405_people_recap_3.md,视频号,0,0,0,0,0,0
20260324-7d905714,2026-03-24 20:34:05,想涨粉别先追爆款，先做这个动作：每条只讲一个问题，普通人也能把内容节奏拉顺,起号先做减法：普通人做视频号别先求爆款,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_203405_people_videohao_topic-c4710cd7.md,视频号,0,0,0,0,0,0
20260324-cc608e7c,2026-03-24 20:34:05,拍口播别先买设备再开拍，先做这个动作：20秒拆段拍摄，你会发现观众更愿意停下来听完,拍摄先求自然再求华丽：拍视频别先追一次过,C:\Users\HP\Documents\Playground\creator_automation\outputs\20260324_203405_people_shooting_20.md,视频号,0,0,0,0,0,0
